
60129,"$200,000 or more","0",

60130,,"487,962",
60130,"$1 under $25,000","26,877",
60130,"$25,000 under $50,000","81,321",
60130,"$50,000 under $75,000","91,278",
60130,"$75,000 under $100,000","68,756",
60130,"$100,000 under $200,000","145,751",
60130,"$200,000 or more","73,979",

60131,,"451,885",
60131,"$1 under $25,000","41,814",
60131,"$25,000 under $50,000","101,257",
60131,"$50,000 under $75,000","93,559",
60131,"$75,000 under $100,000","79,522",
60131,"$100,000 under $200,000","106,141",
60131,"$200,000 or more","29,592",

60133,,"915,206",
60133,"$1 under $25,000","78,603",
60133,"$25,000 under $50,000","188,663",
60133,"$50,000 under $75,000","187,685",
60133,"$75,000 under $100,000","165,043",
60133,"$100,000 under $200,000","244,983",
60133,"$200,000 or more","50,229",

60134,,"1,979,938",
60134,"$1 under $25,000","34,740",
60134,"$25,000 under $50,000","69,053",
60134,"$50,000 under $75,000","93,746",
60134,"$75,000 under $100,000","117,085",
60134,"$100,000 under $200,000","577,655",
60134,"$200,000 or more","1,087,659",

60135,,"228,193",
60135,"$1 under $25,000","13,736",
60135,"$25,000 under $50,000","31,422",
60135,"$50,000 under $75,000","35,293",
60135,"$75,000 under $100,000","37,600",
60135,"$100,000 under $200,000","83,687",
60135,"$200,000 or more","26,455",

60136,,"340,377",
60136,"$1 under $25,000","9,142",
60136,"$25,000 under $50,000","22,921",
60136,"$50,000 under $75,000","33,530",
60136,"$75,000 under $100,000","42,256",
60136,"$100,000 under $200,000","151,965",
60136,"$200,000 or more","80,563",

60137,,"2,873,112",
60137,"$1 under $25,000","49,882",
60137,"$25,000 under $50,000","105,904",
60137,"$50,000 under $75,000","123,513",
60137,"$75,000 under $100,000","137,074",
60137,"$100,000 under $200,000","578,414",
60137,"$200,000 or more","1,878,325",

60139,,"836,707",
60139,"$1 under $25,000","70,021",
60139,"$25,000 under $50,000","178,590",
60139,"$50,000 under $75,000","166,943",
60139,"$75,000 under $100,000","136,601",
60139,"$100,000 under $200,000","219,562",
60139,"$200,000 or more","64,990",

60140,,"794,890",
60140,"$1 under $25,000","26,973",
60140,"$25,000 under $50,000","72,562",
60140,"$50,000 under $75,000","98,471",
60140,"$75,000 under $100,000","123,078",
60140,"$100,000 under $200,000","328,809",
60140,"$200,000 or more","144,997",

60142,,"1,223,333",
60142,"$1 under $25,000","42,685",
60142,"$25,000 under $50,000","86,338",
60142,"$50,000 under $75,000","125,844",
60142,"$75,000 under $100,000","156,137",
60142,"$100,000 under $200,000","545,320",
60142,"$200,000 or more","267,009",

60143,,"579,211",
60143,"$1 under $25,000","15,868",
60143,"$25,000 under $50,000","43,867",
60143,"$50,000 under $75,000","52,738",
60143,"$75,000 under $100,000","56,630",
60143,"$100,000 under $200,000","171,762",
60143,"$200,000 or more","238,346",

60145,,"86,670",
60145,"$1 under $25,000","3,736",
60145,"$25,000 under $50,000","8,980",
60145,"$50,000 under $75,000","12,014",
60145,"$75,000 under $100,000","12,997",
60145,"$100,000 under $200,000","32,924",
60145,"$200,000 or more","16,019",

60146,,"74,516",
60146,"$1 under $25,000","4,594",
60146,"$25,000 under $50,000","10,471",
60146,"$50,000 under $75,000","13,770",
60146,"$75,000 under $100,000","13,103",
60146,"$100,000 under $200,000","26,440",
60146,"$200,000 or more","6,138",

60148,,"2,103,735",
60148,"$1 under $25,000","82,642",
60148,"$25,000 under $50,000","200,226",
60148,"$50,000 under $75,000","264,238",
60148,"$75,000 under $100,000","284,006",
60148,"$100,000 under $200,000","774,058",
60148,"$200,000 or more","498,565",

60150,,"50,793",
60150,"$1 under $25,000","3,392",
60150,"$25,000 under $50,000","6,886",
60150,"$50,000 under $75,000","8,452",
60150,"$75,000 under $100,000","8,263",
60150,"$100,000 under $200,000","17,194",
60150,"$200,000 or more","6,606",

60151,,"151,192",
60151,"$1 under $25,000","5,722",
60151,"$25,000 under $50,000","14,724",
60151,"$50,000 under $75,000","19,261",
60151,"$75,000 under $100,000","23,001",
60151,"$100,000 under $200,000","60,930",
60151,"$200,000 or more","27,554",

60152,,"428,295",
60152,"$1 under $25,000","21,507",
60152,"$25,000 under $50,000","48,037",
60152,"$50,000 under $75,000","55,340",
60152,"$75,000 under $100,000","64,548",
60152,"$100,000 under $200,000","156,211",
60152,"$200,000 or more","82,652",

60153,,"400,874",
60153,"$1 under $25,000","65,037",
60153,"$25,000 under $50,000","126,448",
60153,"$50,000 under $75,000","92,151",
60153,"$75,000 under $100,000","52,321",
60153,"$100,000 under $200,000","54,035",
60153,"$200,000 or more","10,882",

60154,,"697,403",
60154,"$1 under $25,000","29,390",
60154,"$25,000 under $50,000","73,078",
60154,"$50,000 under $75,000","101,602",
60154,"$75,000 under $100,000","106,376",
60154,"$100,000 under $200,000","259,748",
60154,"$200,000 or more","127,209",

60155,,"193,545",
60155,"$1 under $25,000","20,627",
60155,"$25,000 under $50,000","49,630",
60155,"$50,000 under $75,000","46,531",
60155,"$75,000 under $100,000","30,479",
60155,"$100,000 under $200,000","37,335",
60155,"$200,000 or more","8,943",

60156,,"1,084,527",
60156,"$1 under $25,000","44,008",
60156,"$25,000 under $50,000","104,229",
60156,"$50,000 under $75,000","128,323",
60156,"$75,000 under $100,000","155,563",
60156,"$100,000 under $200,000","413,793",
60156,"$200,000 or more","238,611",

60157,,"175,968",
60157,"$1 under $25,000","4,172",
60157,"$25,000 under $50,000","8,390",
60157,"$50,000 under $75,000","9,726",
60157,"$75,000 under $100,000","11,805",
60157,"$100,000 under $200,000","45,327",
60157,"$200,000 or more","96,548",

60160,,"476,136",
60160,"$1 under $25,000","58,971",
60160,"$25,000 under $50,000","139,113",
60160,"$50,000 under $75,000","101,722",
60160,"$75,000 under $100,000","63,346",
60160,"$100,000 under $200,000","84,444",
60160,"$200,000 or more","28,540",

60162,,"215,889",
60162,"$1 under $25,000","19,121",
60162,"$25,000 under $50,000","47,612",
60162,"$50,000 under $75,000","46,965",
60162,"$75,000 under $100,000","36,028",
60162,"$100,000 under $200,000","47,697",
60162,"$200,000 or more","18,466",

60163,,"142,614",
60163,"$1 under $25,000","12,327",
60163,"$25,000 under $50,000","29,637",
60163,"$50,000 under $75,000","30,530",
60163,"$75,000 under $100,000","26,306",
60163,"$100,000 under $200,000","36,100",
60163,"$200,000 or more","7,714",

60164,,"491,793",
60164,"$1 under $25,000","49,924",
60164,"$25,000 under $50,000","125,099",
60164,"$50,000 under $75,000","111,828",
60164,"$75,000 under $100,000","85,372",
60164,"$100,000 under $200,000","101,475",
60164,"$200,000 or more","18,095",

60165,,"69,581",
60165,"$1 under $25,000","11,349",
60165,"$25,000 under $50,000","26,565",
60165,"$50,000 under $75,000","16,068",
60165,"$75,000 under $100,000","8,961",
60165,"$100,000 under $200,000","6,638",
60165,"$200,000 or more","0",

60169,,"1,041,085",
60169,"$1 under $25,000","63,155",
60169,"$25,000 under $50,000","155,106",
60169,"$50,000 under $75,000","173,105",
60169,"$75,000 under $100,000","156,097",
60169,"$100,000 under $200,000","350,035",
60169,"$200,000 or more","143,587",

